401526531,DEERUHBOJAZA,1706652262,1706652262,7,,,,100.0000,,2022-11-28,2022-12-12,100.0000,,0T01-FLAT100,,,,,"{""id"": 4093, ""blocks"": ""2022-11-28T05:17:27Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-12-12"", ""start"": ""2022-11-28"", ""unitId"": ""ABC123"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NR""}], ""lastModifiedBy"": ""MMOHITTE"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-28T05:17:27Z"", ""lastModifiedDateTime"": ""2022-11-28T00:16:35"", ""lastModifiedDateTime_repo"": ""2022-11-28T05:17:27Z""}",HAPI,401522724,401523858,401525565,401523636
401526532,EEERUHBOYRQC,1706652262,1706652262,7,,,,100.0000,,2022-11-28,2022-12-09,100.0000,,0T01-FLAT100,,,,,"{""id"": 4094, ""blocks"": ""2022-11-28T05:17:29Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-12-09"", ""start"": ""2022-11-28"", ""unitId"": ""VLL123"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NR""}], ""lastModifiedBy"": ""MMOHITTE"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-28T05:17:29Z"", ""lastModifiedDateTime"": ""2022-11-28T00:17:03"", ""lastModifiedDateTime_repo"": ""2022-11-28T05:17:29Z""}",HAPI,401522725,401523860,401525565,401523636
401526533,FEERUHBOEVTO,1706652262,1706652262,7,,,,100.0000,,2022-11-09,2023-11-10,100.0000,,0T01-FLAT100,,,,,"{""id"": 4095, ""blocks"": ""2022-11-09T11:40:46Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2023-11-10"", ""start"": ""2022-11-09"", ""unitId"": ""1411"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NC""}], ""lastModifiedBy"": ""AMANGAR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-09T11:40:46Z"", ""lastModifiedDateTime"": ""2022-11-09T06:39:42"", ""lastModifiedDateTime_repo"": ""2022-11-09T11:40:46Z""}",HAPI,401522726,401523862,401525565,401523636
401526534,GEERUHBOFVHY,1706652262,1706652262,7,,,,100.0000,,2022-11-10,2022-11-11,100.0000,,0T01-FLAT100,,,,,"{""id"": 4096, ""blocks"": ""2022-11-09T11:51:03Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-11"", ""start"": ""2022-11-10"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NC""}], ""lastModifiedBy"": ""AMANGAR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-09T11:51:03Z"", ""lastModifiedDateTime"": ""2022-11-09T06:50:31"", ""lastModifiedDateTime_repo"": ""2022-11-09T11:51:03Z""}",HAPI,401522726,401523864,401525565,401523636
401526535,HEERUHBOVDHZ,1706652262,1706652262,7,,,,100.0000,,2022-11-10,2022-11-11,100.0000,,0T01-FLAT100,,,,,"{""id"": 4097, ""blocks"": ""2022-11-10T13:19:05Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-11"", ""start"": ""2022-11-10"", ""unitId"": ""1412"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CQ2NR""}], ""lastModifiedBy"": ""RKOTUR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-10T13:19:05Z"", ""lastModifiedDateTime"": ""2022-11-10T08:18:12"", ""lastModifiedDateTime_repo"": ""2022-11-10T13:19:05Z""}",HAPI,401522727,401523866,401525565,401523636
401526536,IEERUHBOAEWD,1706652262,1706652262,7,,,,100.0000,,2022-08-25,2023-08-26,100.0000,,0T01-FLAT100,,,,,"{""id"": 4098, ""blocks"": ""2022-11-24T04:08:16Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2023-08-26"", ""start"": ""2022-08-25"", ""unitId"": ""NH12"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NC""}], ""lastModifiedBy"": ""MMOHITTE"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-24T04:08:16Z"", ""lastModifiedDateTime"": ""2022-11-23T23:07:50"", ""lastModifiedDateTime_repo"": ""2022-11-24T04:08:16Z""}",HAPI,401522728,401523868,401525565,401523636
401526537,JEERUHBOUKRH,1706652262,1706652262,7,,,,100.0000,,2022-11-11,2022-11-12,100.0000,,0T01-FLAT100,,,,,"{""id"": 4099, ""blocks"": ""2022-11-11T06:04:58Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-12"", ""start"": ""2022-11-11"", ""unitId"": ""1410"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NR""}], ""lastModifiedBy"": ""RKOTUR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-11T06:04:58Z"", ""lastModifiedDateTime"": ""2022-11-11T01:03:53"", ""lastModifiedDateTime_repo"": ""2022-11-11T06:04:58Z""}",HAPI,401522729,401523870,401525565,401523636
401526538,KEERUHBOBHFO,1706652262,1706652262,7,,,,100.0000,,2022-11-11,2022-11-12,100.0000,,0T01-FLAT100,,,,,"{""id"": 40100, ""blocks"": ""2022-11-11T06:47:57Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-12"", ""start"": ""2022-11-11"", ""unitId"": ""1405"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NC""}], ""lastModifiedBy"": ""RKOTUR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-11T06:47:57Z"", ""lastModifiedDateTime"": ""2022-11-11T01:47:02"", ""lastModifiedDateTime_repo"": ""2022-11-11T06:47:57Z""}",HAPI,401522730,401523872,401525565,401523636
401526539,LEERUHBOHVEU,1706652262,1706652262,7,,,,100.0000,,2022-11-14,2022-11-15,100.0000,,0T01-FLAT100,,,,,"{""id"": 40101, ""blocks"": ""2022-11-14T09:31:08Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-15"", ""start"": ""2022-11-14"", ""unitId"": ""1410"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CK1NR""}], ""lastModifiedBy"": ""RKOTUR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-14T09:31:08Z"", ""lastModifiedDateTime"": ""2022-11-14T04:30:12"", ""lastModifiedDateTime_repo"": ""2022-11-14T09:31:08Z""}",HAPI,401522731,401523874,401525565,401523636
401526540,MEERUHBONYEK,1706652262,1706652262,7,,,,100.0000,,2022-08-25,2022-11-18,100.0000,,0T01-FLAT100,,,,,"{""id"": 40102, ""blocks"": ""2022-11-14T09:36:01Z"", ""profiles"": null, ""import_code"": null, ""occupiedUnits"": [{""end"": ""2022-11-18"", ""start"": ""2022-08-25"", ""unitId"": ""1506"", ""extraBeds"": [{""type"": ""CRIB"", ""count"": 0}, {""type"": ""ROLLAWAY"", ""count"": 0}], ""unitTypeCode"": ""CQ2NR""}], ""lastModifiedBy"": ""RKOTUR"", ""notificationType"": null, ""occupancyDetails"": ""2022-11-14T09:36:01Z"", ""lastModifiedDateTime"": ""2022-11-14T04:35:15"", ""lastModifiedDateTime_repo"": ""2022-11-14T09:36:01Z""}",HAPI,401522732,401523876,401525565,401523636
